"","date","hour","power"
"928",20170208,15,7.4
"929",20170208,16,4.7843137254902
"930",20170208,17,4.09433962264151
"931",20170208,18,3.89795918367347
"932",20170208,19,2.85294117647059
"933",20170208,20,2.85714285714286
"934",20170208,21,3.57142857142857
"935",20170208,22,5.16666666666667
"936",20170208,23,4.16666666666667
"937",20170209,0,4.02083333333333
"938",20170209,1,3.98333333333333
"939",20170209,2,3
"940",20170209,3,2.74358974358974
"941",20170209,4,3.91071428571429
"942",20170209,5,5.26666666666667
"943",20170209,6,2.625
"944",20170209,7,3
"945",20170209,8,2.92682926829268
"946",20170209,9,3.07142857142857
"947",20170209,10,5.20408163265306
"948",20170209,11,5.68518518518519
"949",20170209,12,3.875
"950",20170209,13,3.74193548387097
"951",20170209,14,5.94545454545455
"952",20170209,15,8.11666666666667
"953",20170209,16,6.65
"954",20170209,17,3.52631578947368
"955",20170209,18,3.85714285714286
"956",20170209,19,3.69047619047619
"957",20170209,20,1.3030303030303
"958",20170209,21,1.9
"959",20170209,22,2.65
"960",20170209,23,2.5
"961",20170210,0,2.45
"962",20170210,1,1.76190476190476
"963",20170210,2,2.2
"964",20170210,3,1.4
"965",20170210,4,1.85
"966",20170210,5,1.65
"967",20170210,6,1.35
"968",20170210,7,1.65
"969",20170210,8,1.1
"970",20170210,9,1.4
"971",20170210,10,4.13636363636364
"972",20170210,11,5
"973",20170210,12,5
"974",20170210,13,3.6
"975",20170210,14,3.65
"976",20170210,15,3.84210526315789
"977",20170210,16,2.6
"978",20170210,17,2
"979",20170210,18,2
"980",20170210,19,2.25
"981",20170210,20,1.1
"982",20170210,21,0.5
"983",20170210,22,1.35
"984",20170210,23,1.7
"985",20170211,0,0.95
"986",20170211,1,0.65
"987",20170211,2,1
"988",20170211,3,1.2
"989",20170211,4,1.35
"990",20170211,5,0.85
"991",20170211,6,0.65
"992",20170211,7,1
"993",20170211,8,1.2
"994",20170211,9,1.15
"995",20170211,10,1.4
"996",20170211,11,1.2
"997",20170211,12,1.35
"998",20170211,13,0.8
"999",20170211,14,1.45
"1000",20170211,15,1.75
"1001",20170211,16,2.66666666666667
"1002",20170211,17,3
"1003",20170211,18,2.1
"1004",20170211,19,1.1
"1005",20170211,20,1
"1006",20170211,21,0.35
"1007",20170211,22,1.2
"1008",20170211,23,2.1
"1009",20170212,0,2.25
"1010",20170212,1,1.85
"1011",20170212,2,1.25
"1012",20170212,3,1.4
"1013",20170212,4,2
"1014",20170212,5,2.5
"1015",20170212,6,1.85
"1016",20170212,7,0.5
