"","shipID","work_time","start_time","end_time","date","moving_time","status","port","place1","place2","dist","turn","weight_lv","seven","day","pilotID","tug1","tug2","tug3","tug.cnt"
"11606","433543",10,2017-04-05 22:30:00,2017-04-05 14:40:00,2017-04-05 14:00:00,-0.00323974082073434,"3","1",NA,"1058",5872.10915705979,0,1,0,1,"76","321",NA,NA,1
"11611","346519",36,2017-04-05 15:34:00,2017-04-05 08:10:00,2017-04-05 07:00:00,28.3477321814255,"1","1",NA,"1052",6595.63255160757,0,1,1,1,"83","145",NA,NA,1
"11612","387347",45,2017-04-05 15:25:00,2017-04-05 08:10:00,2017-04-05 07:00:00,6,"1","1",NA,"1055",7173.13113770984,1,1,1,1,"91","112",NA,NA,1
"11616","348058",10,2017-04-05 15:40:00,2017-04-05 07:50:00,2017-04-05 07:30:00,17.8679798720215,"3","1",NA,"4051",4553.09416292005,-1,8,1,1,"48","322",NA,NA,1
"11618","935522",33,2017-04-05 23:39:00,2017-04-05 16:12:00,2017-04-05 14:30:00,6,"1","2",NA,"1103",8600.58982624778,0,1,0,1,"67","172","171",NA,2
"11619","935522",33,2017-04-05 23:39:00,2017-04-05 16:12:00,2017-04-05 14:30:00,6,"1","2",NA,"1103",8600.58982624778,0,1,0,1,"67","172","171",NA,2
"11622","512443",44,2017-04-05 22:26:00,2017-04-05 15:10:00,2017-04-05 14:00:00,28.3477321814255,"1","1",NA,"1118",10327.1322991804,0,1,0,1,"99","153",NA,NA,1
"11628","437204",40,2017-04-05 15:20:00,2017-04-05 08:00:00,2017-04-05 07:00:00,37.002574583602,"1","1",NA,"1030",6680.11140921905,1,1,1,1,"97","321",NA,NA,1
"11632","440795",22,2017-04-05 22:18:00,2017-04-05 14:40:00,2017-04-05 13:30:00,7.56450973628614,"3","2",NA,"1078",3081.98778306777,0,1,0,1,"89","104",NA,NA,1
"11636","535346",55,2017-04-05 10:40:00,2017-04-05 03:35:00,2017-04-05 01:00:00,26.2024122992168,"1","2",NA,"1061",5366.05099581148,0,1,0,0,"97","165","153",NA,2
"11637","422665",37,2017-04-05 19:43:00,2017-04-05 12:20:00,2017-04-05 11:00:00,28.3477321814255,"1","1",NA,"1032",6306.61486217467,0,1,0,1,"85","145",NA,NA,1
"11644","535729",35,2017-04-05 14:35:00,2017-04-05 07:10:00,2017-04-05 06:00:00,6,"1","1",NA,"1039",5090.6230628587,0,1,0,1,"93","321","322",NA,2
"11646","334588",33,2017-04-05 20:07:00,2017-04-05 12:40:00,2017-04-05 11:30:00,40.0814000610368,"1","1",NA,"1027",7259.76499585991,0,1,0,1,"67","145",NA,NA,1
"11653","348163",10,2017-04-05 14:30:00,2017-04-05 06:40:00,2017-04-05 06:00:00,2.03525994232342,"3","1",NA,"1028",5247.44477502117,0,1,0,1,"48","112","145",NA,2
